id,ps_x,ps_y,ps_orient,ps_vp,ps_vc,ps_of1,ps_of2,ps_of3,ps_det,ps_col,sivic_x,sivic_y,sivic_orient,sivic_vp,sivic_vc,sivic_of1,sivic_of2,sivic_of3,sivic_det,sivic_col,sivic_conf,theory_of1,SafeViol
50,32.30771,36.42448,54.50557,4.6659,16.24719,3.296283,4,0.095743,0,0,250.392293,315.325521,-125.494434,4.665901,58.489872,0.06545,0.302468,0.162747,1,1,0.2,6.39471,0
51,32.32554,36.59646,55.52016,4.59299,15.98644,3.04081,4,0.094604,0,0,250.374465,315.153543,-124.479839,4.592986,57.551188,0.101371,0.302493,0.456666,1,1,0.15,6.371189,0
52,32.33064,36.07504,55.08514,4.64945,15.76299,3.288384,4,0.050945,0,0,250.369361,315.67496,-124.914859,4.649446,56.746751,0.021717,0.241463,0.199167,1,1,0.2,6.564699,0
53,32.33088,36.07551,55.08503,4.64946,15.76307,3.287875,4,0.050624,0,0,250.369123,315.674488,-124.914968,4.649458,56.747036,0.342361,0.180443,0.198767,1,1,0.15,6.564194,0
54,32.33165,36.0745,55.10203,4.64929,15.75501,3.287387,4,0.028769,0,0,250.368353,315.675502,-124.897975,4.649294,56.71804,0.028457,0.180443,0.179115,1,1,0.25,6.563086,0
55,32.34599,35.8637,58.27432,4.64764,15.40259,3.053407,4,0.051928,0,0,250.354007,315.886299,-121.725682,4.647638,55.449336,0.121855,0.212767,0.253546,1,1,0.35,7.072458,0
56,32.38207,36.07495,55.08023,4.64961,15.76074,3.269538,4,0.067397,0,0,250.317929,315.675046,-124.91977,4.64961,56.738646,0.065275,0.241472,0.103954,1,1,0.3,6.551119,0
57,32.5692,36.09856,57.77432,4.63469,15.85164,3.134415,4,0.000546,0,0,250.1308,315.651443,-122.225676,4.634691,57.065888,0.07287,0.266599,0.227536,1,1,0.15,7.006039,0
58,32.57193,36.0983,57.5416,4.63496,15.84939,3.13904,4,0.062206,0,0,250.128067,315.6517,-122.458402,4.634961,57.057797,0.09802,0.180467,0.151647,1,1,0.2,6.965424,0
59,32.86809,35.15471,47.50846,5,15.9716,4.003782,4,0.009504,0,0,249.83191,316.595289,-132.491543,5,57.497771,0.21505,0.363511,0.114908,1,1,0.25,5.60115,0
60,32.9258,36.61015,54.13362,4.5768,16.1388,3.103058,4,0.074283,0,0,249.774202,315.139855,-125.866383,4.576795,58.09968,0.205629,0.067843,0.469141,1,1,0.15,6.145325,0
61,33.03826,35.79503,55.32914,4.69255,16.09181,3.491805,4,0.009575,0,0,249.661737,315.954974,-124.670857,4.692553,57.930505,0.009754,0.302468,0.220295,1,1,0.2,6.834425,0
62,33.04494,35.78545,55.32875,4.69129,16.07692,3.484356,4,0.072763,0,0,249.65506,315.964552,-124.671247,4.691294,57.876913,0.018329,0.302468,0.704476,1,1,0.15,6.83595,0
63,33.07106,37.07224,56.26976,4.21438,14.61945,2.264078,4,0.048346,0,0,249.628937,314.677764,-123.73024,4.214376,52.630029,0.275678,0.058462,0.475221,1,1,0.3,5.836667,0
64,33.28456,36.08085,52.41154,4.6338,15.62367,3.153938,4,0.03973,0,0,249.415442,315.669147,-127.588465,4.633803,56.245227,0.36091,0.067849,0.064609,1,1,0.15,5.885175,0
65,33.29398,35.93951,55.71285,4.65524,16.22658,3.417346,4,0.112151,0,0,249.406019,315.810491,-124.287149,4.655238,58.41567,0.177619,0.30248,0.305419,1,1,0.25,6.855805,0
66,33.42462,45.74489,64.43672,1.74922,17.56863,0.113823,0.060095,0,1,1,249.275384,306.005112,-115.563279,1.749224,63.247079,0.15465,0.105117,0.475499,1,1,0.3,2.674562,0
67,33.439,35.99807,55.81679,4.65367,16.47659,3.485012,4,0.029293,0,0,249.260999,315.751931,-124.183213,4.653672,59.315728,0.242448,0.241463,0.181359,1,1,0.25,6.930748,0
68,33.53997,37.11384,53.23722,4.16144,14.9798,2.718229,4,0.028532,0,0,249.160027,314.636164,-126.762784,4.161436,53.927271,0.136659,0.3635,0.209206,1,1,0.15,5.586905,0
69,33.63893,37.22915,48.2368,4.22135,14.12351,2.187515,4,0.009201,0,0,249.061068,314.520854,-131.763202,4.221354,50.844649,0.367975,0.180492,0.00948,1,1,0.4,4.022941,0
70,33.66663,46.78295,103.38034,1,7.88121,2.019755,0.469635,0,1,0,249.03337,304.967052,-76.619661,1,28.372369,0.134218,4,0,0,1,0.35,2.336336,1
71,33.67578,36.98578,52.22801,4.18523,15.09396,2.898006,4,0.036095,0,0,249.024216,314.764219,-127.771995,4.185226,54.338253,0.193294,0.302473,0.381663,1,1,0.2,5.559416,0
72,33.77721,37.02507,53.21097,4.16495,15.03704,2.768625,4,0.011525,0,0,248.922792,314.724933,-126.789033,4.164951,54.133356,0.028167,0.180465,0.409421,1,1,0.25,5.648266,0
73,33.79582,43.17084,105.32109,3.84105,21.88475,0.146619,0.082818,0.092574,0,1,248.904178,308.579164,-74.678908,3.841047,78.7851,0.587869,0.145039,2.09511,1,1,0.15,5.484494,0
74,33.81395,43.16992,105.32269,3.83967,21.88373,0.152717,0.083616,0.019004,0,1,248.886047,308.580076,-74.677313,3.839672,78.781427,0.590991,0.145038,2.008629,1,1,0.2,5.484868,0
75,33.92598,36.98274,56.94956,4.1644,15.01185,2.497013,4,0.080686,0,0,248.774025,314.767263,-123.050437,4.164402,54.042664,0.25884,0.119471,0.0442,1,1,0.2,6.210006,0
